Term,NaturalCourt,Docket,CaseName,DecisionDate,Justice,VoteDescription,WinningParty
2023,1710,22-888,RUDISILL v. MCDONOUGH,4/16/2024,SAAlito,Dissent,Petitioner/Appellant won (petitioning party received a favorable disposition)
2023,1710,22-888,RUDISILL v. MCDONOUGH,4/16/2024,SSotomayor,Majority or plurality,Petitioner/Appellant won (petitioning party received a favorable disposition)
2023,1710,22-888,RUDISILL v. MCDONOUGH,4/16/2024,EKagan,Majority or plurality,Petitioner/Appellant won (petitioning party received a favorable disposition)
2023,1710,22-888,RUDISILL v. MCDONOUGH,4/16/2024,NMGorsuch,Majority or plurality,Petitioner/Appellant won (petitioning party received a favorable disposition)
2023,1710,22-888,RUDISILL v. MCDONOUGH,4/16/2024,BMKavanaugh,Regular concurrence,Petitioner/Appellant won (petitioning party received a favorable disposition)
2023,1710,22-888,RUDISILL v. MCDONOUGH,4/16/2024,ACBarrett,Regular concurrence,Petitioner/Appellant won (petitioning party received a favorable disposition)
2023,1710,22-888,RUDISILL v. MCDONOUGH,4/16/2024,KBJackson,Majority or plurality,Petitioner/Appellant won (petitioning party received a favorable disposition)
2023,1710,22-193,"MULDROW v. CITY OF ST. LOUIS, MISSOURI",4/17/2024,JGRoberts,Majority or plurality,Petitioner/Appellant won (petitioning party received a favorable disposition)
2023,1710,22-193,"MULDROW v. CITY OF ST. LOUIS, MISSOURI",4/17/2024,CThomas,Special concurrence,Petitioner/Appellant won (petitioning party received a favorable disposition)
2023,1710,22-193,"MULDROW v. CITY OF ST. LOUIS, MISSOURI",4/17/2024,SAAlito,Special concurrence,Petitioner/Appellant won (petitioning party received a favorable disposition)
2023,1710,22-193,"MULDROW v. CITY OF ST. LOUIS, MISSOURI",4/17/2024,SSotomayor,Majority or plurality,Petitioner/Appellant won (petitioning party received a favorable disposition)
2023,1710,22-193,"MULDROW v. CITY OF ST. LOUIS, MISSOURI",4/17/2024,EKagan,Majority or plurality,Petitioner/Appellant won (petitioning party received a favorable disposition)
2023,1710,22-193,"MULDROW v. CITY OF ST. LOUIS, MISSOURI",4/17/2024,NMGorsuch,Majority or plurality,Petitioner/Appellant won (petitioning party received a favorable disposition)
2023,1710,22-193,"MULDROW v. CITY OF ST. LOUIS, MISSOURI",4/17/2024,BMKavanaugh,Special concurrence,Petitioner/Appellant won (petitioning party received a favorable disposition)
2023,1710,22-193,"MULDROW v. CITY OF ST. LOUIS, MISSOURI",4/17/2024,ACBarrett,Majority or plurality,Petitioner/Appellant won (petitioning party received a favorable disposition)
2023,1710,22-193,"MULDROW v. CITY OF ST. LOUIS, MISSOURI",4/17/2024,KBJackson,Majority or plurality,Petitioner/Appellant won (petitioning party received a favorable disposition)
2023,1710,22-451,LOPER BRIGHT ENTERPRISES v. RAIMONDO,6/28/2024,JGRoberts,Majority or plurality,Petitioner/Appellant won (petitioning party received a favorable disposition)
2023,1710,22-451,LOPER BRIGHT ENTERPRISES v. RAIMONDO,6/28/2024,CThomas,Regular concurrence,Petitioner/Appellant won (petitioning party received a favorable disposition)
2023,1710,22-451,LOPER BRIGHT ENTERPRISES v. RAIMONDO,6/28/2024,SAAlito,Majority or plurality,Petitioner/Appellant won (petitioning party received a favorable disposition)
2023,1710,22-451,LOPER BRIGHT ENTERPRISES v. RAIMONDO,6/28/2024,SSotomayor,Dissent,Petitioner/Appellant won (petitioning party received a favorable disposition)
2023,1710,22-451,LOPER BRIGHT ENTERPRISES v. RAIMONDO,6/28/2024,EKagan,Dissent,Petitioner/Appellant won (petitioning party received a favorable disposition)
2023,1710,22-451,LOPER BRIGHT ENTERPRISES v. RAIMONDO,6/28/2024,NMGorsuch,Regular concurrence,Petitioner/Appellant won (petitioning party received a favorable disposition)
2023,1710,22-451,LOPER BRIGHT ENTERPRISES v. RAIMONDO,6/28/2024,BMKavanaugh,Majority or plurality,Petitioner/Appellant won (petitioning party received a favorable disposition)
2023,1710,22-451,LOPER BRIGHT ENTERPRISES v. RAIMONDO,6/28/2024,ACBarrett,Majority or plurality,Petitioner/Appellant won (petitioning party received a favorable disposition)
2023,1710,22-451,LOPER BRIGHT ENTERPRISES v. RAIMONDO,6/28/2024,KBJackson,,Petitioner/Appellant won (petitioning party received a favorable disposition)
2023,1710,22-666,WILKINSON v. GARLAND,3/19/2024,JGRoberts,Dissent,Petitioner/Appellant won (petitioning party received a favorable disposition)
2023,1710,22-666,WILKINSON v. GARLAND,3/19/2024,CThomas,Dissent,Petitioner/Appellant won (petitioning party received a favorable disposition)
2023,1710,22-666,WILKINSON v. GARLAND,3/19/2024,SAAlito,Dissent,Petitioner/Appellant won (petitioning party received a favorable disposition)
2023,1710,22-666,WILKINSON v. GARLAND,3/19/2024,SSotomayor,Majority or plurality,Petitioner/Appellant won (petitioning party received a favorable disposition)
2023,1710,22-666,WILKINSON v. GARLAND,3/19/2024,EKagan,Majority or plurality,Petitioner/Appellant won (petitioning party received a favorable disposition)
2023,1710,22-666,WILKINSON v. GARLAND,3/19/2024,NMGorsuch,Majority or plurality,Petitioner/Appellant won (petitioning party received a favorable disposition)
2023,1710,22-666,WILKINSON v. GARLAND,3/19/2024,BMKavanaugh,Majority or plurality,Petitioner/Appellant won (petitioning party received a favorable disposition)
2023,1710,22-666,WILKINSON v. GARLAND,3/19/2024,ACBarrett,Majority or plurality,Petitioner/Appellant won (petitioning party received a favorable disposition)
2023,1710,22-666,WILKINSON v. GARLAND,3/19/2024,KBJackson,Special concurrence,Petitioner/Appellant won (petitioning party received a favorable disposition)
2023,1710,22-674,CAMPOS-CHAVES v. GARLAND,6/14/2024,JGRoberts,Majority or plurality,Respondent/Appellee won (petitioning party did not receive a favorable disposition)
2023,1710,22-674,CAMPOS-CHAVES v. GARLAND,6/14/2024,CThomas,Majority or plurality,Respondent/Appellee won (petitioning party did not receive a favorable disposition)
2023,1710,22-674,CAMPOS-CHAVES v. GARLAND,6/14/2024,SAAlito,Majority or plurality,Respondent/Appellee won (petitioning party did not receive a favorable disposition)
2023,1710,22-674,CAMPOS-CHAVES v. GARLAND,6/14/2024,SSotomayor,Dissent,Respondent/Appellee won (petitioning party did not receive a favorable disposition)
2023,1710,22-674,CAMPOS-CHAVES v. GARLAND,6/14/2024,EKagan,Dissent,Respondent/Appellee won (petitioning party did not receive a favorable disposition)
