Term,NaturalCourt,Docket,CaseName,DecisionDate,Justice,VoteDescription,ActualVote,WinningParty
2022,1710,21-86,AXON ENTERPRISE v. FEDERAL TRADE COMMISSION,4/14/2023,SSotomayor,voted with majority or plurality,Petitioner,Petitioner/Appellant won
2022,1710,21-86,AXON ENTERPRISE v. FEDERAL TRADE COMMISSION,4/14/2023,EKagan,voted with majority or plurality,Petitioner,Petitioner/Appellant won
2022,1710,21-86,AXON ENTERPRISE v. FEDERAL TRADE COMMISSION,4/14/2023,NMGorsuch,special concurrence,Petitioner,Petitioner/Appellant won
2022,1710,21-86,AXON ENTERPRISE v. FEDERAL TRADE COMMISSION,4/14/2023,BMKavanaugh,voted with majority or plurality,Petitioner,Petitioner/Appellant won
2022,1710,21-86,AXON ENTERPRISE v. FEDERAL TRADE COMMISSION,4/14/2023,ACBarrett,voted with majority or plurality,Petitioner,Petitioner/Appellant won
2022,1710,21-86,AXON ENTERPRISE v. FEDERAL TRADE COMMISSION,4/14/2023,KBJackson,voted with majority or plurality,Petitioner,Petitioner/Appellant won
2022,1710,21-1168,MALLORY v. NORFOLK SOUTHERN RAILWAY CO.,6/27/2023,JGRoberts,dissent,Respondent,Petitioner/Appellant won
2022,1710,21-1168,MALLORY v. NORFOLK SOUTHERN RAILWAY CO.,6/27/2023,CThomas,voted with majority or plurality,Petitioner,Petitioner/Appellant won
2022,1710,21-1168,MALLORY v. NORFOLK SOUTHERN RAILWAY CO.,6/27/2023,SAAlito,special concurrence,Petitioner,Petitioner/Appellant won
2022,1710,21-1168,MALLORY v. NORFOLK SOUTHERN RAILWAY CO.,6/27/2023,SSotomayor,voted with majority or plurality,Petitioner,Petitioner/Appellant won
2022,1710,21-1168,MALLORY v. NORFOLK SOUTHERN RAILWAY CO.,6/27/2023,EKagan,dissent,Respondent,Petitioner/Appellant won
2022,1710,21-1168,MALLORY v. NORFOLK SOUTHERN RAILWAY CO.,6/27/2023,NMGorsuch,judgment of the Court,Petitioner,Petitioner/Appellant won
2022,1710,21-1168,MALLORY v. NORFOLK SOUTHERN RAILWAY CO.,6/27/2023,BMKavanaugh,dissent,Respondent,Petitioner/Appellant won
2022,1710,21-1168,MALLORY v. NORFOLK SOUTHERN RAILWAY CO.,6/27/2023,ACBarrett,dissent,Respondent,Petitioner/Appellant won
2022,1710,21-1168,MALLORY v. NORFOLK SOUTHERN RAILWAY CO.,6/27/2023,KBJackson,regular concurrence,Petitioner,Petitioner/Appellant won
2022,1710,21-806,"HEALTH AND HOSPITAL CORPORATION OF MARION COUNTY, INDIANA v. TALEVSKI",6/8/2023,JGRoberts,regular concurrence,Respondent,Respondent/Appellee won
2022,1710,21-806,"HEALTH AND HOSPITAL CORPORATION OF MARION COUNTY, INDIANA v. TALEVSKI",6/8/2023,CThomas,dissent,Petitioner,Respondent/Appellee won
2022,1710,21-806,"HEALTH AND HOSPITAL CORPORATION OF MARION COUNTY, INDIANA v. TALEVSKI",6/8/2023,SAAlito,dissent,Petitioner,Respondent/Appellee won
2022,1710,21-806,"HEALTH AND HOSPITAL CORPORATION OF MARION COUNTY, INDIANA v. TALEVSKI",6/8/2023,SSotomayor,voted with majority or plurality,Respondent,Respondent/Appellee won
2022,1710,21-806,"HEALTH AND HOSPITAL CORPORATION OF MARION COUNTY, INDIANA v. TALEVSKI",6/8/2023,EKagan,voted with majority or plurality,Respondent,Respondent/Appellee won
2022,1710,21-806,"HEALTH AND HOSPITAL CORPORATION OF MARION COUNTY, INDIANA v. TALEVSKI",6/8/2023,NMGorsuch,regular concurrence,Respondent,Respondent/Appellee won
2022,1710,21-806,"HEALTH AND HOSPITAL CORPORATION OF MARION COUNTY, INDIANA v. TALEVSKI",6/8/2023,BMKavanaugh,voted with majority or plurality,Respondent,Respondent/Appellee won
2022,1710,21-806,"HEALTH AND HOSPITAL CORPORATION OF MARION COUNTY, INDIANA v. TALEVSKI",6/8/2023,ACBarrett,regular concurrence,Respondent,Respondent/Appellee won
2022,1710,21-806,"HEALTH AND HOSPITAL CORPORATION OF MARION COUNTY, INDIANA v. TALEVSKI",6/8/2023,KBJackson,voted with majority or plurality,Respondent,Respondent/Appellee won
2022,1710,21-376,HAALAND v. BRACKEEN,6/15/2023,JGRoberts,voted with majority or plurality,Respondent,Respondent/Appellee won
2022,1710,21-376,HAALAND v. BRACKEEN,6/15/2023,CThomas,dissent,Petitioner,Respondent/Appellee won
2022,1710,21-376,HAALAND v. BRACKEEN,6/15/2023,SAAlito,dissent,Petitioner,Respondent/Appellee won
2022,1710,21-376,HAALAND v. BRACKEEN,6/15/2023,SSotomayor,regular concurrence,Respondent,Respondent/Appellee won
2022,1710,21-376,HAALAND v. BRACKEEN,6/15/2023,EKagan,voted with majority or plurality,Respondent,Respondent/Appellee won
2022,1710,21-376,HAALAND v. BRACKEEN,6/15/2023,NMGorsuch,regular concurrence,Respondent,Respondent/Appellee won
2022,1710,21-376,HAALAND v. BRACKEEN,6/15/2023,BMKavanaugh,regular concurrence,Respondent,Respondent/Appellee won
2022,1710,21-376,HAALAND v. BRACKEEN,6/15/2023,ACBarrett,voted with majority or plurality,Respondent,Respondent/Appellee won
2022,1710,21-376,HAALAND v. BRACKEEN,6/15/2023,KBJackson,regular concurrence,Respondent,Respondent/Appellee won
2022,1710,21-476,303 CREATIVE LLC v. ELENIS,6/30/2023,JGRoberts,voted with majority or plurality,Petitioner,Petitioner/Appellant won
2022,1710,21-476,303 CREATIVE LLC v. ELENIS,6/30/2023,CThomas,voted with majority or plurality,Petitioner,Petitioner/Appellant won
2022,1710,21-476,303 CREATIVE LLC v. ELENIS,6/30/2023,SAAlito,voted with majority or plurality,Petitioner,Petitioner/Appellant won
2022,1710,21-476,303 CREATIVE LLC v. ELENIS,6/30/2023,SSotomayor,dissent,Respondent,Petitioner/Appellant won
2022,1710,21-476,303 CREATIVE LLC v. ELENIS,6/30/2023,EKagan,dissent,Respondent,Petitioner/Appellant won
2022,1710,21-476,303 CREATIVE LLC v. ELENIS,6/30/2023,NMGorsuch,voted with majority or plurality,Petitioner,Petitioner/Appellant won
2022,1710,21-476,303 CREATIVE LLC v. ELENIS,6/30/2023,BMKavanaugh,voted with majority or plurality,Petitioner,Petitioner/Appellant won
2022,1710,21-476,303 CREATIVE LLC v. ELENIS,6/30/2023,ACBarrett,voted with majority or plurality,Petitioner,Petitioner/Appellant won
2022,1710,21-476,303 CREATIVE LLC v. ELENIS,6/30/2023,KBJackson,dissent,Respondent,Petitioner/Appellant won
2022,1710,21-908,BARTENWERFER v. BUCKLEY,2/22/2023,JGRoberts,voted with majority or plurality,Respondent,Respondent/Appellee won
2022,1710,21-908,BARTENWERFER v. BUCKLEY,2/22/2023,CThomas,voted with majority or plurality,Respondent,Respondent/Appellee won
2022,1710,21-908,BARTENWERFER v. BUCKLEY,2/22/2023,SAAlito,voted with majority or plurality,Respondent,Respondent/Appellee won
